area_sqm,rooms,floor,floor_count,build_year,latitude,longitude,distance_to_center,poi_count,distance_to_school,distance_to_healthcare,distance_to_post_office,distance_to_kindergarten,distance_to_restaurant,distance_to_college,distance_to_pharmacy,has_parking,has_balcony,has_elevator,has_security,has_storage,price,listing_year,listing_month
62.47,3,4,4,1987,51.7219,19.4967,7.23,5,0.428,0.773,0.657,0.039,0.371,2.152,0.26,1,1,1,1,1,480500,2023,8
42.42,2,7,11,1979,51.7503,19.401,5.07,14,0.167,0.522,0.724,0.251,0.195,3.588,0.241,1,1,1,1,0,310000,2023,8
83.73,3,,3,1912,51.7432,19.4807,4.62,5,0.406,0.754,0.934,0.711,0.236,1.699,0.439,1,1,1,1,0,810000,2023,8
57.42,2,2,3,1935,51.7801,19.475,1.4,22,0.257,0.691,0.335,0.112,0.169,0.291,0.05,1,1,1,1,0,370000,2023,8
98.45,4,2,2,1936,51.7544,19.4598,3.03,31,0.137,0.312,0.216,0.323,0.084,0.682,0.174,1,1,1,1,0,850000,2023,8
102,4,,4,1995,51.8211,19.4406,4.51,13,0.379,0.382,0.253,0.228,0.016,3.342,0.163,1,1,1,1,1,759999,2023,8
51,3,2,4,,51.7468143,19.4445294,3.92,4,0.539,1.457,1.156,0.943,0.419,0.618,0.562,1,1,1,1,0,535000,2023,8
38.43,2,3,5,2022,51.8016092,19.3949944,4.68,3,0.294,3.111,0.994,0.743,0.534,1.355,0.492,1,1,1,1,1,470000,2023,8
59.5,3,4,4,1976,51.75385163,19.53952789,6.59,24,0.2,0.333,0.34,0.174,0.118,2.468,0.363,1,1,1,1,0,370000,2023,8
56.5,3,5,10,1970,51.774704,19.4292827,1.91,13,0.436,0.889,0.425,0.339,0.246,1.438,0.151,1,1,1,1,1,365000,2023,8
36.3,2,3,3,1960,51.7837101,19.429617,1.75,12,0.188,0.654,0.502,0.135,0.696,0.778,0.298,1,1,1,1,1,319000,2023,8
53.38,2,3,4,,51.7898,19.4644,1.14,20,0.144,0.675,0.123,0.094,0.487,0.981,0.06,1,1,1,1,1,325000,2023,8
36.24,2,3,4,1969,51.7288124,19.4882162,6.3,8,0.246,0.976,0.342,0.215,0.579,1.38,0.454,1,1,1,1,0,242000,2023,8
28,1,9,10,,51.7715,19.4683,1.45,23,0.322,0.383,0.291,0.41,0.032,0.495,0.175,1,1,1,1,1,220000,2023,8
44,2,,,,51.8064416,19.460037,2.8,1,0.452,1.93,0.819,0.6,0.592,2.594,0.91,1,1,0,1,0,225000,2023,8
34,2,3,3,,51.753,19.4287,3.64,12,0.36,0.437,0.275,0.152,0.136,1.747,0.283,1,1,1,1,1,225000,2023,8
51,2,3,11,,51.7465,19.4041,5.23,23,0.402,0.497,0.492,0.186,0.069,3.378,0.272,1,1,1,1,1,306000,2023,8
48.2,3,2,4,1970,51.7411,19.4955,5.3,17,0.25,1.462,0.505,0.25,0.103,2.251,0.305,1,1,1,1,1,339000,2023,8
27.32,1,,4,1970,51.7322944,19.5011187,6.33,16,0.193,1.711,0.619,0.096,0.309,2.279,0.039,1,1,0,1,0,210000,2023,8
37,2,,3,1970,51.7885,19.4922,2.69,1,0.744,2.124,0.987,0.783,0.055,1.562,0.683,1,1,1,1,1,290000,2023,8
51,3,2,2,1952,51.7756622,19.4659321,1.01,26,0.193,0.426,0.392,0.365,0.085,0.318,0.303,1,1,1,1,0,509000,2023,8
37,2,2,4,1971,51.7943,19.3746,5.69,15,0.211,3.721,0.33,0.257,0.224,1.547,0.066,1,1,1,1,1,345000,2023,8
44.9,2,,4,1961,51.7271639,19.4590444,6.05,9,0.198,1.306,0.362,0.127,0.304,0.704,0.234,1,1,0,1,0,290000,2023,8
68,3,3,3,2014,51.78263399,19.53448128,5.48,2,0.195,2.846,0.54,0.313,1.842,1.614,0.546,1,1,1,1,1,767000,2023,8
53,3,1,4,1980,51.80772,19.43912,3.11,1,0.927,1.133,1.039,0.238,1.136,2.487,0.862,1,1,1,1,1,477000,2023,8
42.66,2,4,4,1980,51.801294,19.395169,4.65,4,0.257,3.084,0.969,0.711,0.508,1.319,0.465,1,1,1,1,1,310000,2023,8
